label,total,exist_total,count,rate
Howl,100,87,44,0.506
Horse,100,78,28,0.359
Pig,100,62,38,0.613
Goat,100,86,23,0.267
Sheep,100,86,37,0.43
Fowl,100,92,68,0.739
Turkey,100,98,55,0.561
Mouse,100,87,0,0.0
Frog,100,81,58,0.716
Owl,100,88,19,0.216
Bird,100,93,54,0.581
Squawk,100,37,0,0.0
Animal,100,51,48,0.941
Meow,100,93,44,0.473
"Chicken, rooster",100,87,67,0.77
Gobble,100,98,40,0.408
Wild animals,100,62,27,0.435
Roar,100,85,58,0.682
Snake,100,56,9,0.161
Mosquito,100,78,20,0.256
Buzz,100,91,4,0.044
Insect,100,84,47,0.56
Purr,100,95,63,0.663
Duck,100,12,4,0.333
Oink,100,79,26,0.329
Bleat,100,83,30,0.361
Goose,100,91,42,0.462
Moo,100,88,37,0.42
Mouse,100,89,0,0.0
Hoot,100,86,16,0.186
Croak,100,76,37,0.487
Hiss,100,79,39,0.494
Yip,100,96,7,0.073
Bark,100,85,28,0.329
