video_id,labels,top1,top1_rate,top2,top2_rate,top3,top3_rate,top4,top4_rate,top5,top5_rate
ASUgGJpwlMs,"['Canidae, dogs, wolves', 'Domestic animals, pets', 'Howl', 'Dog', 'Animal']",Music,0.31408158,Silence,0.14761792,Singing bowl,0.10200849,Howl,0.091638,Humming,0.06768577
bDdf_ft5rb4,"['Canidae, dogs, wolves', 'Music', 'Domestic animals, pets', 'Howl', 'Dog', 'Animal']",Music,0.4840158,Silence,0.1418145,Animal,0.108950816,Speech,0.09039605,Fowl,0.08590704
6GjsjhAbXRo,"['Domestic animals, pets', 'Howl', 'Dog', 'Animal']",Howl,0.5699138,Animal,0.56976664,Dog,0.56776804,"Domestic animals, pets",0.5538398,"Canidae, dogs, wolves",0.33208933
NF1lwZ24RYI,"['Canidae, dogs, wolves', 'Bark', 'Domestic animals, pets', 'Howl', 'Bow-wow', 'Dog', 'Growling', 'Animal']","Domestic animals, pets",0.90244406,Dog,0.8946444,Animal,0.8881528,Howl,0.51237845,"Canidae, dogs, wolves",0.37390882
BQPk4cmN__4,"['Canidae, dogs, wolves', 'Bark', 'Domestic animals, pets', 'Howl', 'Bow-wow', 'Dog', 'Animal']",Animal,0.7444695,"Domestic animals, pets",0.7186894,Dog,0.6929608,Bark,0.36853004,Yip,0.20452456
JqfJ5xfAMbE,"['Horse', 'Music', 'Clip-clop', 'Speech']",Music,0.68012273,Bagpipes,0.08646755,Musical instrument,0.03649008,Traditional music,0.03259422,Folk music,0.03012597
2pikqXJeOAg,"['Horse', 'Clip-clop', 'Animal']",Clip-clop,0.1557661,Animal,0.14874853,Horse,0.12287189,"Livestock, farm animals, working animals",0.09228076,Fire,0.081632644
126AbihZt28,"['Horse', 'Clip-clop', 'Speech', 'Animal']",Speech,0.34309635,Animal,0.24772626,Clip-clop,0.13000882,Horse,0.119249284,"Livestock, farm animals, working animals",0.10380691
3GbIhQLCH9I,"['Horse', 'Music', 'Neigh, whinny', 'Speech', 'Animal']",Speech,0.2287492,Music,0.14537893,Animal,0.12503982,"Neigh, whinny",0.113744445,Horse,0.11150445
ER1c1h89GjA,"['Horse', 'Neigh, whinny', 'Clip-clop', 'Speech', 'Animal']",Speech,0.50347465,Animal,0.15970895,"Livestock, farm animals, working animals",0.09613594,"Domestic animals, pets",0.08167777,Goat,0.07806774
PwazdGn6ldc,"['Pig', 'Speech', 'Animal', 'Oink']",Speech,0.24464679,Pig,0.15742877,"Livestock, farm animals, working animals",0.1396426,Animal,0.13961363,Oink,0.12015784
TJfaUX_qYkI,"['Pig', 'Speech', 'Animal']",Pig,0.18332674,Animal,0.12649827,Speech,0.1263113,Oink,0.12562731,"Livestock, farm animals, working animals",0.103717685
eh9FhTL34no,"['Domestic animals, pets', 'Pig', 'Animal']",Animal,0.48709244,Pig,0.33380398,"Livestock, farm animals, working animals",0.29974043,Oink,0.21957207,"Domestic animals, pets",0.15068765
PwazdGn6ldc,"['Pig', 'Speech', 'Animal', 'Oink']",Speech,0.24464679,Pig,0.15742877,"Livestock, farm animals, working animals",0.1396426,Animal,0.13961363,Oink,0.12015784
