label,total,exist_total,count,rate
Howl,100,83,52,0.627
Horse,100,82,32,0.39
Pig,100,68,37,0.544
Goat,100,78,36,0.462
Sheep,100,89,46,0.517
Fowl,100,92,57,0.62
Turkey,100,99,49,0.495
Mouse,100,86,0,0.0
Frog,100,88,69,0.784
Owl,100,91,28,0.308
Bird,100,93,43,0.462
Squawk,100,39,0,0.0
Animal,100,49,44,0.898
Meow,100,93,36,0.387
"Chicken, rooster",100,84,59,0.702
Gobble,100,99,38,0.384
Wild animals,100,61,29,0.475
Roar,100,84,47,0.56
Snake,100,62,15,0.242
Mosquito,100,70,18,0.257
Buzz,100,90,7,0.078
Insect,100,84,49,0.583
Purr,100,94,67,0.713
Duck,100,15,9,0.6
Oink,100,84,20,0.238
Bleat,100,88,34,0.386
Goose,100,89,48,0.539
Moo,100,80,45,0.562
Mouse,100,91,0,0.0
Hoot,100,92,25,0.272
Croak,100,89,42,0.472
Hiss,100,66,19,0.288
Yip,100,93,5,0.054
Bark,100,84,30,0.357
