video_id,labels,top1,top1_rate,top2,top2_rate,top3,top3_rate,top4,top4_rate,top5,top5_rate
AjmZCg_sYc8,"['Wild animals', 'Squeal', 'Dog', 'Animal']",Animal,0.23890409,Turkey,0.17464149,Gobble,0.15537673,Dog,0.14449005,"Livestock, farm animals, working animals",0.12153976
Y3AK50PotkQ,"['Domestic animals, pets', 'Sheep', 'Bleat', 'Yip', 'Bow-wow', 'Speech', 'Dog', 'Animal']",Speech,0.33500642,Vehicle,0.10999838,Animal,0.061525602,Motor vehicle (road),0.045414966,"Domestic animals, pets",0.045151595
KS2aTlLJPo8,"['Domestic animals, pets', 'Howl', 'Dog', 'Animal']",Animal,0.64415246,"Domestic animals, pets",0.5784708,Dog,0.4465468,Wild animals,0.15330924,"Canidae, dogs, wolves",0.121074654
6GjsjhAbXRo,"['Domestic animals, pets', 'Howl', 'Dog', 'Animal']",Howl,0.5699138,Animal,0.56976664,Dog,0.56776804,"Domestic animals, pets",0.5538398,"Canidae, dogs, wolves",0.33208933
BFEeNJkKx6g,"['Canidae, dogs, wolves', 'Domestic animals, pets', 'Howl', 'Bow-wow', 'Dog', 'Growling', 'Animal']",Animal,0.9564351,Dog,0.92458785,"Domestic animals, pets",0.9141833,Howl,0.85741055,"Canidae, dogs, wolves",0.48339462
6mEVsmeDknA,"['Canidae, dogs, wolves', 'Domestic animals, pets', 'Howl', 'Dog', 'Animal']",Animal,0.45721927,"Livestock, farm animals, working animals",0.22933897,Fowl,0.18224314,"Chicken, rooster",0.17038518,Cat,0.12098954
AjmZCg_sYc8,"['Wild animals', 'Squeal', 'Dog', 'Animal']",Animal,0.23890409,Turkey,0.17464149,Gobble,0.15537673,Dog,0.14449005,"Livestock, farm animals, working animals",0.12153976
BFEeNJkKx6g,"['Canidae, dogs, wolves', 'Domestic animals, pets', 'Howl', 'Bow-wow', 'Dog', 'Growling', 'Animal']",Animal,0.9564351,Dog,0.92458785,"Domestic animals, pets",0.9141833,Howl,0.85741055,"Canidae, dogs, wolves",0.48339462
WFJ96PH4rvo,"['Canidae, dogs, wolves', 'Domestic animals, pets', 'Howl', 'Dog', 'Animal']",Dog,0.24436614,"Domestic animals, pets",0.23266539,Animal,0.22410388,Howl,0.18287794,"Inside, small room",0.16116351
yrpBzVXqs8g,"['Canidae, dogs, wolves', 'Bark', 'Howl', 'Yip', 'Bow-wow', 'Speech', 'Dog', 'Inside, small room']",Animal,0.7992753,"Domestic animals, pets",0.78304,Dog,0.7728967,Bark,0.3117011,Howl,0.29555872
7AhpZQt1Ml0,"['Domestic animals, pets', 'Howl', 'Dog', 'Animal']",Animal,0.57569236,"Domestic animals, pets",0.5588798,Dog,0.5269144,Bark,0.20918258,"Canidae, dogs, wolves",0.11788283
Y3AK50PotkQ,"['Domestic animals, pets', 'Sheep', 'Bleat', 'Yip', 'Bow-wow', 'Speech', 'Dog', 'Animal']",Speech,0.33500642,Vehicle,0.10999838,Animal,0.061525602,Motor vehicle (road),0.045414966,"Domestic animals, pets",0.045151595
CAbXVOWLYps,"['Domestic animals, pets', 'Howl', 'Dog', 'Animal', 'Whimper (dog)']",Animal,0.48951522,"Domestic animals, pets",0.38780016,Dog,0.32666916,"Canidae, dogs, wolves",0.1582444,Whimper (dog),0.10907179
yrpBzVXqs8g,"['Canidae, dogs, wolves', 'Bark', 'Howl', 'Yip', 'Bow-wow', 'Speech', 'Dog', 'Inside, small room']",Animal,0.7992753,"Domestic animals, pets",0.78304,Dog,0.7728967,Bark,0.3117011,Howl,0.29555872
gCHF0oBPZv8,"['Canidae, dogs, wolves', 'Domestic animals, pets', 'Howl', 'Speech', 'Dog', 'Animal']",Alarm,0.18898115,Fire alarm,0.14149213,Speech,0.13114306,Dog,0.09892298,"Domestic animals, pets",0.09427543
BQPk4cmN__4,"['Canidae, dogs, wolves', 'Bark', 'Domestic animals, pets', 'Howl', 'Bow-wow', 'Dog', 'Animal']",Animal,0.7444695,"Domestic animals, pets",0.7186894,Dog,0.6929608,Bark,0.36853004,Yip,0.20452456
F2FjmfvmRa0,"['Bark', 'Domestic animals, pets', 'Howl', 'Bow-wow', 'Dog', 'Animal']",Animal,0.9007438,Dog,0.85202044,"Domestic animals, pets",0.85106754,Howl,0.7571733,"Canidae, dogs, wolves",0.485988
gCHF0oBPZv8,"['Canidae, dogs, wolves', 'Domestic animals, pets', 'Howl', 'Speech', 'Dog', 'Animal']",Alarm,0.18898115,Fire alarm,0.14149213,Speech,0.13114306,Dog,0.09892298,"Domestic animals, pets",0.09427543
wYNKH0Ou9vM,"['Domestic animals, pets', 'Howl', 'Speech', 'Dog', 'Animal']",Speech,0.33804467,Animal,0.21342316,"Domestic animals, pets",0.20090775,Dog,0.19040252,Howl,0.0929227
Mr2kGT6i7e4,"['Canidae, dogs, wolves', 'Music', 'Domestic animals, pets', 'Howl', 'Speech', 'Dog', 'Animal']",Speech,0.4367639,Animal,0.09715953,"Domestic animals, pets",0.09503986,Dog,0.0920025,Howl,0.079511605
Mr2kGT6i7e4,"['Canidae, dogs, wolves', 'Music', 'Domestic animals, pets', 'Howl', 'Speech', 'Dog', 'Animal']",Speech,0.4367639,Animal,0.09715953,"Domestic animals, pets",0.09503986,Dog,0.0920025,Howl,0.079511605
AjmZCg_sYc8,"['Wild animals', 'Squeal', 'Dog', 'Animal']",Animal,0.23890409,Turkey,0.17464149,Gobble,0.15537673,Dog,0.14449005,"Livestock, farm animals, working animals",0.12153976
Y3AK50PotkQ,"['Domestic animals, pets', 'Sheep', 'Bleat', 'Yip', 'Bow-wow', 'Speech', 'Dog', 'Animal']",Speech,0.33500642,Vehicle,0.10999838,Animal,0.061525602,Motor vehicle (road),0.045414966,"Domestic animals, pets",0.045151595
39rXWSXGOyo,"['Cat', 'Purr', 'Domestic animals, pets', 'Meow', 'Animal']",Cat,0.8059808,Animal,0.7620339,"Domestic animals, pets",0.70372474,Purr,0.54309803,Meow,0.08578856
wK3BpK1-Apw,"['Cat', 'Domestic animals, pets', 'Meow', 'Caterwaul', 'Speech', 'Animal']",Speech,0.40655905,Animal,0.1551638,Frog,0.09202345,Wild animals,0.08336778,"Domestic animals, pets",0.07322054
3LtXT2KVI-c,"['Cat', 'Domestic animals, pets', 'Meow', 'Caterwaul', 'Animal']",Silence,0.20265874,Animal,0.16783175,"Domestic animals, pets",0.13764484,Cat,0.12724234,Meow,0.08796674
m5I_M9d80Wg,"['Cat', 'Domestic animals, pets', 'Meow', 'Roaring cats (lions, tigers)', 'Animal']",Animal,0.41002697,"Domestic animals, pets",0.34353164,Cat,0.24042459,Meow,0.09938921,Dog,0.088259295
17WW_p1N7BQ,"['Cat', 'Domestic animals, pets', 'Meow', 'Caterwaul', 'Speech', 'Animal']",Speech,0.30295613,Animal,0.20742063,Cat,0.14755201,"Baby cry, infant cry",0.14506264,"Domestic animals, pets",0.14473765
8JgqLELdUkY,"['Cat', 'Domestic animals, pets', 'Meow', 'Caterwaul', 'Animal']",Animal,0.23179205,Cat,0.20425661,"Domestic animals, pets",0.2039564,Meow,0.14220889,"Inside, small room",0.123888925
LHY9L1MjQvQ,"['Cat', 'Music', 'Domestic animals, pets', 'Meow', 'Speech']",Music,0.53897226,Speech,0.38608253,Music for children,0.019875553,"Jingle, tinkle",0.012105715,Ding,0.0068264203
2gvw16YDwMA,"['Cat', 'Domestic animals, pets', 'Meow', 'Caterwaul', 'Animal']",Roar,0.17144588,"Roaring cats (lions, tigers)",0.16335186,Sound effect,0.15837498,Sigh,0.1498608,Grunt,0.14736709
-ZJqu_4zLMc,"['Cat', 'Domestic animals, pets', 'Meow', 'Caterwaul', 'Speech', 'Animal']",Speech,0.34112826,Animal,0.2132984,Cat,0.13824014,"Domestic animals, pets",0.13302991,Insect,0.11344627
m5I_M9d80Wg,"['Cat', 'Domestic animals, pets', 'Meow', 'Roaring cats (lions, tigers)', 'Animal']",Animal,0.41002697,"Domestic animals, pets",0.34353164,Cat,0.24042459,Meow,0.09938921,Dog,0.088259295
2REf8hLLYMw,"['Cat', 'Domestic animals, pets', 'Meow', 'Caterwaul', 'Speech', 'Animal']",Speech,0.47113618,Animal,0.13338551,Cat,0.12762569,"Domestic animals, pets",0.123387374,Meow,0.082923114
HSPBrLMYWQA,"['Cat', 'Domestic animals, pets', 'Meow', 'Animal']",Animal,0.43179083,Cat,0.35462406,"Domestic animals, pets",0.33879393,Meow,0.31990716,Insect,0.13723716
8xoenlVVBZw,"['Cat', 'Domestic animals, pets', 'Meow', 'Caterwaul', 'Speech', 'Animal']",Animal,0.5385666,Cat,0.3318208,"Domestic animals, pets",0.30033442,Crow,0.22455427,Meow,0.22198494
_gQFB_Utuf0,"['Cat', 'Domestic animals, pets', 'Meow', 'Caterwaul', 'Animal']",Vehicle,0.12664093,"Domestic animals, pets",0.09961974,Cat,0.098799504,Animal,0.097960636,Motor vehicle (road),0.06530088
86p6UVFIcFI,"['Cat', 'Domestic animals, pets', 'Meow', 'Caterwaul']",Animal,0.6894714,"Domestic animals, pets",0.6714617,Cat,0.6072208,Meow,0.2771436,"Inside, small room",0.08691068
17WW_p1N7BQ,"['Cat', 'Domestic animals, pets', 'Meow', 'Caterwaul', 'Speech', 'Animal']",Speech,0.30295613,Animal,0.20742063,Cat,0.14755201,"Baby cry, infant cry",0.14506264,"Domestic animals, pets",0.14473765
8xoenlVVBZw,"['Cat', 'Domestic animals, pets', 'Meow', 'Caterwaul', 'Speech', 'Animal']",Animal,0.5385666,Cat,0.3318208,"Domestic animals, pets",0.30033442,Crow,0.22455427,Meow,0.22198494
6dgTnGDYiZc,"['Cat', 'Domestic animals, pets', 'Meow', 'Caterwaul', 'Speech', 'Animal']",Speech,0.22249036,Animal,0.16537343,"Domestic animals, pets",0.15611045,"Crying, sobbing",0.1279509,Dog,0.09671869
2eYaXTKSpMI,"['Cat', 'Domestic animals, pets', 'Meow', 'Caterwaul', 'Animal']",Cat,0.25722837,"Domestic animals, pets",0.22810519,Animal,0.21858856,Speech,0.2119072,Meow,0.17451338
8ws1ligErwo,"['Cat', 'Domestic animals, pets', 'Meow', 'Caterwaul', 'Speech', 'Animal']",Speech,0.66153526,Skateboard,0.059299,Vehicle,0.03629982,"Outside, urban or manmade",0.023799732,"Splash, splatter",0.019714896
HSPBrLMYWQA,"['Cat', 'Domestic animals, pets', 'Meow', 'Animal']",Animal,0.43179083,Cat,0.35462406,"Domestic animals, pets",0.33879393,Meow,0.31990716,Insect,0.13723716
