video_id,labels,top1,top1_rate,top2,top2_rate,top3,top3_rate,top4,top4_rate,top5,top5_rate
2rW2I6KmWhw,"['Music', 'Domestic animals, pets', 'Howl', 'Yip', 'Dog', 'Animal', 'Whimper (dog)']",Music,0.65401137,Singing,0.05479451,Opera,0.036359105,Classical music,0.02365105,Whimper,0.023167765
eSMCZfnJ5gI,"['Canidae, dogs, wolves', 'Bark', 'Domestic animals, pets', 'Meow', 'Yip', 'Bow-wow', 'Speech', 'Dog', 'Animal']","Domestic animals, pets",0.83732176,Animal,0.8279909,Dog,0.8036399,Bark,0.40522584,Bow-wow,0.22045374
yrpBzVXqs8g,"['Canidae, dogs, wolves', 'Bark', 'Howl', 'Yip', 'Bow-wow', 'Speech', 'Dog', 'Inside, small room']",Animal,0.7992753,"Domestic animals, pets",0.78304,Dog,0.7728967,Bark,0.3117011,Howl,0.29555872
Mr2kGT6i7e4,"['Canidae, dogs, wolves', 'Music', 'Domestic animals, pets', 'Howl', 'Speech', 'Dog', 'Animal']",Speech,0.4367639,Animal,0.09715953,"Domestic animals, pets",0.09503986,Dog,0.0920025,Howl,0.079511605
N6e5C5sXdBI,"['Domestic animals, pets', 'Howl', 'Dog', 'Animal']",Animal,0.8968264,"Domestic animals, pets",0.55260295,Dog,0.32728654,Fowl,0.2771182,"Chicken, rooster",0.2510892
6mEVsmeDknA,"['Canidae, dogs, wolves', 'Domestic animals, pets', 'Howl', 'Dog', 'Animal']",Animal,0.45721927,"Livestock, farm animals, working animals",0.22933897,Fowl,0.18224314,"Chicken, rooster",0.17038518,Cat,0.12098954
yhA_TTKetyM,"['Domestic animals, pets', 'Howl', 'Dog', 'Animal', 'Whimper (dog)']",Animal,0.6644741,"Domestic animals, pets",0.620535,Dog,0.60248685,Howl,0.5467242,"Canidae, dogs, wolves",0.389232
MUJmWnjGEBk,"['Canidae, dogs, wolves', 'Domestic animals, pets', 'Howl', 'Speech', 'Dog', 'Animal', 'Inside, small room']",Speech,0.5429565,Animal,0.27938113,"Domestic animals, pets",0.23638959,Dog,0.19395182,Howl,0.13314356
Yx396qvohX8,"['Canidae, dogs, wolves', 'Bark', 'Domestic animals, pets', 'Howl', 'Bow-wow', 'Dog', 'Animal']",Dog,0.9081542,"Domestic animals, pets",0.9066831,Animal,0.8952676,Howl,0.60033846,"Canidae, dogs, wolves",0.39799663
bltHehYBdy8,"['Domestic animals, pets', 'Howl', 'Dog', 'Animal']",Alarm,0.21604724,Siren,0.21366897,"Crying, sobbing",0.15251124,Whimper,0.13100943,Police car (siren),0.122355774
BQPk4cmN__4,"['Canidae, dogs, wolves', 'Bark', 'Domestic animals, pets', 'Howl', 'Bow-wow', 'Dog', 'Animal']",Animal,0.7444695,"Domestic animals, pets",0.7186894,Dog,0.6929608,Bark,0.36853004,Yip,0.20452456
L28CnhmeAD4,"['Canidae, dogs, wolves', 'Howl', 'Dog', 'Animal']",Animal,0.5097928,Howl,0.4281972,Siren,0.34405366,Alarm,0.30105296,"Canidae, dogs, wolves",0.27549595
BFEeNJkKx6g,"['Canidae, dogs, wolves', 'Domestic animals, pets', 'Howl', 'Bow-wow', 'Dog', 'Growling', 'Animal']",Animal,0.9564351,Dog,0.92458785,"Domestic animals, pets",0.9141833,Howl,0.85741055,"Canidae, dogs, wolves",0.48339462
kQQrsmLvoCE,"['Canidae, dogs, wolves', 'Music', 'Domestic animals, pets', 'Howl', 'Yip', 'Dog', 'Animal', 'Inside, small room']",Music,0.57834756,"Domestic animals, pets",0.13784413,Animal,0.13782254,Dog,0.13562985,Howl,0.08719674
EecU1KGJIt4,"['Bark', 'Domestic animals, pets', 'Pig', 'Bow-wow', 'Dog', 'Animal']",Animal,0.92674893,Pig,0.78894436,"Livestock, farm animals, working animals",0.74371946,Oink,0.63519967,Dog,0.14007013
